,Date,Dollars per Million Btu
188,1997 09 25 Thu,3.05
189,1997 09 26 Fri,3.24
190,1997 09 29 Mon,3.09
191,1997 09 30 Tue,2.96
192,1997 10 01 Wed,3.08
193,1997 10 02 Thu,2.97
194,1997 10 03 Fri,2.91
195,1997 10 06 Mon,2.96
196,1997 10 07 Tue,2.81
197,1997 10 08 Wed,2.8
198,1997 10 09 Thu,2.8
199,1997 10 10 Fri,2.78
200,1997 10 13 Mon,2.87
201,1997 10 14 Tue,2.84
202,1997 10 15 Wed,2.84
203,1997 10 16 Thu,2.94
204,1997 10 17 Fri,2.97
205,1997 10 20 Mon,3.05
206,1997 10 21 Tue,3.13
207,1997 10 22 Wed,3.24
208,1997 10 23 Thu,3.34
209,1997 10 24 Fri,3.29
210,1997 10 27 Mon,3.46
211,1997 10 28 Tue,3.61
212,1997 10 29 Wed,3.45
213,1997 10 30 Thu,3.34
214,1997 10 31 Fri,3.22
215,1997 11 03 Mon,3.23
216,1997 11 04 Tue,3.15
217,1997 11 05 Wed,3.18
218,1997 11 06 Thu,3.2
219,1997 11 07 Fri,3.05
220,1997 11 10 Mon,3.2
221,1997 11 11 Tue,3.26
222,1997 11 12 Wed,3.28
223,1997 11 13 Thu,3.27
224,1997 11 14 Fri,3.25
225,1997 11 17 Mon,3.1
226,1997 11 18 Tue,3.0
227,1997 11 19 Wed,2.97
228,1997 11 20 Thu,2.77
229,1997 11 21 Fri,2.59
230,1997 11 24 Mon,2.63
231,1997 11 25 Tue,2.51
232,1997 11 26 Wed,2.5
233,1997 11 27 Thu,
234,1997 11 28 Fri,
235,1997 12 01 Mon,2.52
236,1997 12 02 Tue,2.61
237,1997 12 03 Wed,2.53
238,1997 12 04 Thu,2.48
239,1997 12 05 Fri,2.42
240,1997 12 08 Mon,2.3
241,1997 12 09 Tue,2.35
242,1997 12 10 Wed,2.45
243,1997 12 11 Thu,2.3
244,1997 12 12 Fri,2.3
245,1997 12 15 Mon,2.25
246,1997 12 16 Tue,2.29
247,1997 12 17 Wed,2.38
248,1997 12 18 Thu,2.37
249,1997 12 19 Fri,2.39
250,1997 12 22 Mon,2.36
251,1997 12 23 Tue,2.24
252,1997 12 24 Wed,2.06
253,1997 12 25 Thu,
254,1997 12 26 Fri,2.18
255,1997 12 29 Mon,2.33
256,1997 12 30 Tue,2.27
257,1997 12 31 Wed,2.27
258,1998 01 01 Thu,
259,1998 01 02 Fri,2.16
260,1998 01 05 Mon,2.05
261,1998 01 06 Tue,2.16
262,1998 01 07 Wed,2.13
263,1998 01 08 Thu,2.11
264,1998 01 09 Fri,2.09
265,1998 01 12 Mon,2.01
266,1998 01 13 Tue,2.03
267,1998 01 14 Wed,2.05
268,1998 01 15 Thu,2.07
269,1998 01 16 Fri,2.11
270,1998 01 19 Mon,
271,1998 01 20 Tue,2.12
272,1998 01 21 Wed,2.09
273,1998 01 22 Thu,2.1
274,1998 01 23 Fri,2.14
275,1998 01 26 Mon,2.09
276,1998 01 27 Tue,2.06
277,1998 01 28 Wed,2.09
278,1998 01 29 Thu,2.07
279,1998 01 30 Fri,2.09
280,1998 02 02 Mon,2.23
281,1998 02 03 Tue,2.27
282,1998 02 04 Wed,2.23
283,1998 02 05 Thu,2.31
284,1998 02 06 Fri,2.35
285,1998 02 09 Mon,2.25
286,1998 02 10 Tue,2.18
287,1998 02 11 Wed,2.21
288,1998 02 12 Thu,2.2
289,1998 02 13 Fri,2.22
290,1998 02 16 Mon,
291,1998 02 17 Tue,2.18
292,1998 02 18 Wed,2.19
293,1998 02 19 Thu,2.22
294,1998 02 20 Fri,2.2
295,1998 02 23 Mon,2.2
296,1998 02 24 Tue,2.19
297,1998 02 25 Wed,2.21
298,1998 02 26 Thu,2.28
299,1998 02 27 Fri,2.23
300,1998 03 02 Mon,2.26
301,1998 03 03 Tue,2.24
302,1998 03 04 Wed,2.19
303,1998 03 05 Thu,2.12
304,1998 03 06 Fri,2.1
305,1998 03 09 Mon,2.17
306,1998 03 10 Tue,2.25
307,1998 03 11 Wed,2.25
308,1998 03 12 Thu,2.23
309,1998 03 13 Fri,2.21
310,1998 03 16 Mon,2.2
311,1998 03 17 Tue,2.2
312,1998 03 18 Wed,2.21
313,1998 03 19 Thu,2.25
314,1998 03 20 Fri,2.28
315,1998 03 23 Mon,2.33
316,1998 03 24 Tue,2.29
317,1998 03 25 Wed,2.33
318,1998 03 26 Thu,2.29
319,1998 03 27 Fri,2.26
320,1998 03 30 Mon,2.32
321,1998 03 31 Tue,2.34
322,1998 04 01 Wed,2.45
323,1998 04 02 Thu,2.43
324,1998 04 03 Fri,2.51
325,1998 04 06 Mon,2.51
326,1998 04 07 Tue,2.51
327,1998 04 08 Wed,2.65
328,1998 04 09 Thu,2.61
329,1998 04 10 Fri,
330,1998 04 13 Mon,2.52
331,1998 04 14 Tue,2.42
332,1998 04 15 Wed,2.48
333,1998 04 16 Thu,2.48
334,1998 04 17 Fri,2.4
335,1998 04 20 Mon,2.4
336,1998 04 21 Tue,2.46
337,1998 04 22 Wed,2.46
338,1998 04 23 Thu,2.35
339,1998 04 24 Fri,2.31
340,1998 04 27 Mon,2.29
341,1998 04 28 Tue,2.27
342,1998 04 29 Wed,2.29
343,1998 04 30 Thu,2.18
344,1998 05 01 Fri,2.11
345,1998 05 04 Mon,2.1
346,1998 05 05 Tue,2.19
347,1998 05 06 Wed,2.12
348,1998 05 07 Thu,2.16
349,1998 05 08 Fri,2.11
350,1998 05 11 Mon,2.19
351,1998 05 12 Tue,2.23
352,1998 05 13 Wed,2.24
353,1998 05 14 Thu,2.18
354,1998 05 15 Fri,2.18
355,1998 05 18 Mon,2.19
356,1998 05 19 Tue,2.17
357,1998 05 20 Wed,2.18
358,1998 05 21 Thu,2.11
359,1998 05 22 Fri,2.02
360,1998 05 25 Mon,
361,1998 05 26 Tue,2.1
362,1998 05 27 Wed,2.1
363,1998 05 28 Thu,2.04
364,1998 05 29 Fri,2.1
365,1998 06 01 Mon,2.1
366,1998 06 02 Tue,2.2
367,1998 06 03 Wed,2.13
368,1998 06 04 Thu,2.04
369,1998 06 05 Fri,2.01
370,1998 06 08 Mon,2.0
