,Date,Dollars per Million Btu
824,2000 03 03 Fri,2.72
825,2000 03 06 Mon,2.76
826,2000 03 07 Tue,2.78
827,2000 03 08 Wed,2.74
828,2000 03 09 Thu,2.69
829,2000 03 10 Fri,
830,2000 03 13 Mon,2.79
831,2000 03 14 Tue,2.83
832,2000 03 15 Wed,2.76
833,2000 03 16 Thu,2.84
834,2000 03 17 Fri,2.81
835,2000 03 20 Mon,2.73
836,2000 03 21 Tue,2.74
837,2000 03 22 Wed,2.78
838,2000 03 23 Thu,2.76
839,2000 03 24 Fri,2.82
840,2000 03 27 Mon,2.82
841,2000 03 28 Tue,2.94
842,2000 03 29 Wed,2.92
843,2000 03 30 Thu,2.83
844,2000 03 31 Fri,2.88
845,2000 04 03 Mon,2.92
846,2000 04 04 Tue,2.87
847,2000 04 05 Wed,2.86
848,2000 04 06 Thu,2.98
849,2000 04 07 Fri,2.99
850,2000 04 10 Mon,2.97
851,2000 04 11 Tue,2.98
852,2000 04 12 Wed,3.05
853,2000 04 13 Thu,3.05
854,2000 04 14 Fri,3.11
855,2000 04 17 Mon,3.13
856,2000 04 18 Tue,3.12
857,2000 04 19 Wed,3.12
858,2000 04 20 Thu,3.07
859,2000 04 21 Fri,
860,2000 04 24 Mon,3.12
861,2000 04 25 Tue,3.18
862,2000 04 26 Wed,3.12
863,2000 04 27 Thu,3.06
864,2000 04 28 Fri,3.09
865,2000 05 01 Mon,3.16
866,2000 05 02 Tue,3.2
867,2000 05 03 Wed,3.18
868,2000 05 04 Thu,3.09
869,2000 05 05 Fri,3.11
870,2000 05 08 Mon,3.12
871,2000 05 09 Tue,3.25
872,2000 05 10 Wed,3.2
873,2000 05 11 Thu,3.37
874,2000 05 12 Fri,3.35
875,2000 05 15 Mon,3.37
876,2000 05 16 Tue,3.45
877,2000 05 17 Wed,3.49
878,2000 05 18 Thu,3.73
879,2000 05 19 Fri,3.76
880,2000 05 22 Mon,3.95
881,2000 05 23 Tue,3.85
882,2000 05 24 Wed,3.94
883,2000 05 25 Thu,4.18
884,2000 05 26 Fri,4.29
885,2000 05 29 Mon,
886,2000 05 30 Tue,4.35
887,2000 05 31 Wed,4.52
888,2000 06 01 Thu,4.39
889,2000 06 02 Fri,4.21
890,2000 06 05 Mon,4.17
891,2000 06 06 Tue,4.48
892,2000 06 07 Wed,4.23
893,2000 06 08 Thu,3.96
894,2000 06 09 Fri,4.14
895,2000 06 12 Mon,4.22
896,2000 06 13 Tue,4.27
897,2000 06 14 Wed,4.16
898,2000 06 15 Thu,4.38
899,2000 06 16 Fri,4.45
900,2000 06 19 Mon,4.38
901,2000 06 20 Tue,4.02
902,2000 06 21 Wed,4.14
903,2000 06 22 Thu,4.44
904,2000 06 23 Fri,4.42
905,2000 06 26 Mon,4.37
906,2000 06 27 Tue,4.55
907,2000 06 28 Wed,4.44
908,2000 06 29 Thu,4.25
909,2000 06 30 Fri,4.36
910,2000 07 03 Mon,4.36
911,2000 07 04 Tue,
912,2000 07 05 Wed,4.24
913,2000 07 06 Thu,4.02
914,2000 07 07 Fri,4.0
915,2000 07 10 Mon,4.19
916,2000 07 11 Tue,4.17
917,2000 07 12 Wed,4.29
918,2000 07 13 Thu,4.08
919,2000 07 14 Fri,4.17
920,2000 07 17 Mon,4.13
921,2000 07 18 Tue,3.99
922,2000 07 19 Wed,4.07
923,2000 07 20 Thu,3.86
924,2000 07 21 Fri,3.88
925,2000 07 24 Mon,3.74
926,2000 07 25 Tue,3.63
927,2000 07 26 Wed,3.59
928,2000 07 27 Thu,3.75
929,2000 07 28 Fri,3.89
930,2000 07 31 Mon,3.75
931,2000 08 01 Tue,3.78
932,2000 08 02 Wed,4.05
933,2000 08 03 Thu,4.23
934,2000 08 04 Fri,4.25
935,2000 08 07 Mon,4.39
936,2000 08 08 Tue,4.46
937,2000 08 09 Wed,4.48
938,2000 08 10 Thu,4.43
939,2000 08 11 Fri,4.44
940,2000 08 14 Mon,4.42
941,2000 08 15 Tue,4.24
942,2000 08 16 Wed,4.24
943,2000 08 17 Thu,4.35
944,2000 08 18 Fri,4.38
945,2000 08 21 Mon,4.6
946,2000 08 22 Tue,4.8
947,2000 08 23 Wed,4.67
948,2000 08 24 Thu,4.53
949,2000 08 25 Fri,4.55
950,2000 08 28 Mon,4.62
951,2000 08 29 Tue,4.6
952,2000 08 30 Wed,4.61
953,2000 08 31 Thu,4.76
954,2000 09 01 Fri,4.7
955,2000 09 04 Mon,
956,2000 09 05 Tue,4.81
957,2000 09 06 Wed,4.89
958,2000 09 07 Thu,4.85
959,2000 09 08 Fri,4.74
960,2000 09 11 Mon,4.85
961,2000 09 12 Tue,4.96
962,2000 09 13 Wed,5.06
963,2000 09 14 Thu,5.1
964,2000 09 15 Fri,5.28
965,2000 09 18 Mon,5.06
966,2000 09 19 Tue,5.22
967,2000 09 20 Wed,5.24
968,2000 09 21 Thu,5.16
969,2000 09 22 Fri,5.16
970,2000 09 25 Mon,5.12
971,2000 09 26 Tue,5.28
972,2000 09 27 Wed,5.34
973,2000 09 28 Thu,5.2
974,2000 09 29 Fri,5.1
975,2000 10 02 Mon,5.24
976,2000 10 03 Tue,5.29
977,2000 10 04 Wed,5.22
978,2000 10 05 Thu,5.21
979,2000 10 06 Fri,5.04
980,2000 10 09 Mon,5.09
981,2000 10 10 Tue,5.16
982,2000 10 11 Wed,5.1
983,2000 10 12 Thu,5.54
984,2000 10 13 Fri,5.43
985,2000 10 16 Mon,5.34
986,2000 10 17 Tue,5.27
987,2000 10 18 Wed,5.36
988,2000 10 19 Thu,5.04
989,2000 10 20 Fri,4.84
990,2000 10 23 Mon,4.82
991,2000 10 24 Tue,4.84
992,2000 10 25 Wed,4.64
993,2000 10 26 Thu,4.61
994,2000 10 27 Fri,4.48
995,2000 10 30 Mon,4.56
996,2000 10 31 Tue,4.37
997,2000 11 01 Wed,4.4
998,2000 11 02 Thu,4.5
999,2000 11 03 Fri,4.64
1000,2000 11 06 Mon,4.6
1001,2000 11 07 Tue,4.68
1002,2000 11 08 Wed,4.92
1003,2000 11 09 Thu,5.34
1004,2000 11 10 Fri,5.24
1005,2000 11 13 Mon,5.59
1006,2000 11 14 Tue,5.81
1007,2000 11 15 Wed,5.95
1008,2000 11 16 Thu,5.94
1009,2000 11 17 Fri,5.62
1010,2000 11 20 Mon,6.23
1011,2000 11 21 Tue,6.35
1012,2000 11 22 Wed,6.3
1013,2000 11 23 Thu,
1014,2000 11 24 Fri,
1015,2000 11 27 Mon,6.24
1016,2000 11 28 Tue,5.9
1017,2000 11 29 Wed,5.93
1018,2000 11 30 Thu,6.31
1019,2000 12 01 Fri,6.53
1020,2000 12 04 Mon,7.41
1021,2000 12 05 Tue,8.03
1022,2000 12 06 Wed,8.75
1023,2000 12 07 Thu,8.48
1024,2000 12 08 Fri,8.13
1025,2000 12 11 Mon,9.96
1026,2000 12 12 Tue,8.58
1027,2000 12 13 Wed,7.8
1028,2000 12 14 Thu,7.48
1029,2000 12 15 Fri,8.03
1030,2000 12 18 Mon,9.28
1031,2000 12 19 Tue,9.11
1032,2000 12 20 Wed,9.95
1033,2000 12 21 Thu,10.49
1034,2000 12 22 Fri,10.48
1035,2000 12 25 Mon,
1036,2000 12 26 Tue,10.23
1037,2000 12 27 Wed,9.58
1038,2000 12 28 Thu,9.22
1039,2000 12 29 Fri,10.48
1040,2001 01 01 Mon,
1041,2001 01 02 Tue,9.97
1042,2001 01 03 Wed,9.71
1043,2001 01 04 Thu,9.45
1044,2001 01 05 Fri,10.03
1045,2001 01 08 Mon,10.31
1046,2001 01 09 Tue,9.95
1047,2001 01 10 Wed,9.91
1048,2001 01 11 Thu,8.95
1049,2001 01 12 Fri,8.75
1050,2001 01 15 Mon,
1051,2001 01 16 Tue,8.16
1052,2001 01 17 Wed,7.85
1053,2001 01 18 Thu,7.09
1054,2001 01 19 Fri,7.61
1055,2001 01 22 Mon,7.7
1056,2001 01 23 Tue,7.02
1057,2001 01 24 Wed,6.81
1058,2001 01 25 Thu,6.81
1059,2001 01 26 Fri,7.0
1060,2001 01 29 Mon,6.76
1061,2001 01 30 Tue,5.96
1062,2001 01 31 Wed,5.83
1063,2001 02 01 Thu,5.82
1064,2001 02 02 Fri,6.76
1065,2001 02 05 Mon,6.15
1066,2001 02 06 Tue,5.59
1067,2001 02 07 Wed,5.67
1068,2001 02 08 Thu,6.24
1069,2001 02 09 Fri,6.24
1070,2001 02 12 Mon,5.74
1071,2001 02 13 Tue,5.58
1072,2001 02 14 Wed,5.89
1073,2001 02 15 Thu,5.35
1074,2001 02 16 Fri,5.57
1075,2001 02 19 Mon,
1076,2001 02 20 Tue,5.17
1077,2001 02 21 Wed,5.2
1078,2001 02 22 Thu,5.11
1079,2001 02 23 Fri,5.05
1080,2001 02 26 Mon,5.07
1081,2001 02 27 Tue,5.07
1082,2001 02 28 Wed,5.25
1083,2001 03 01 Thu,5.25
1084,2001 03 02 Fri,5.06
1085,2001 03 05 Mon,5.32
1086,2001 03 06 Tue,5.27
1087,2001 03 07 Wed,5.22
1088,2001 03 08 Thu,5.25
1089,2001 03 09 Fri,5.13
1090,2001 03 12 Mon,4.98
1091,2001 03 13 Tue,5.08
1092,2001 03 14 Wed,4.99
1093,2001 03 15 Thu,5.27
1094,2001 03 16 Fri,5.27
1095,2001 03 19 Mon,5.27
1096,2001 03 20 Tue,5.27
1097,2001 03 21 Wed,5.16
1098,2001 03 22 Thu,5.16
1099,2001 03 23 Fri,5.16
1100,2001 03 26 Mon,5.23
1101,2001 03 27 Tue,5.47
1102,2001 03 28 Wed,5.6
1103,2001 03 29 Thu,5.31
1104,2001 03 30 Fri,5.35
1105,2001 04 02 Mon,5.25
1106,2001 04 03 Tue,5.25
1107,2001 04 04 Wed,5.24
1108,2001 04 05 Thu,5.27
1109,2001 04 06 Fri,5.33
1110,2001 04 09 Mon,5.45
1111,2001 04 10 Tue,5.55
1112,2001 04 11 Wed,5.45
1113,2001 04 12 Thu,5.32
1114,2001 04 13 Fri,
1115,2001 04 16 Mon,5.48
1116,2001 04 17 Tue,5.36
1117,2001 04 18 Wed,5.15
1118,2001 04 19 Thu,5.06
1119,2001 04 20 Fri,5.0
1120,2001 04 23 Mon,5.09
1121,2001 04 24 Tue,5.13
1122,2001 04 25 Wed,4.98
1123,2001 04 26 Thu,4.92
1124,2001 04 27 Fri,4.83
1125,2001 04 30 Mon,4.73
1126,2001 05 01 Tue,4.55
1127,2001 05 02 Wed,4.54
1128,2001 05 03 Thu,4.46
1129,2001 05 04 Fri,4.5
1130,2001 05 07 Mon,4.33
1131,2001 05 08 Tue,4.22
1132,2001 05 09 Wed,4.15
1133,2001 05 10 Thu,4.17
1134,2001 05 11 Fri,4.25
1135,2001 05 14 Mon,4.28
1136,2001 05 15 Tue,4.46
1137,2001 05 16 Wed,4.46
1138,2001 05 17 Thu,4.2
1139,2001 05 18 Fri,4.15
1140,2001 05 21 Mon,4.14
1141,2001 05 22 Tue,4.04
1142,2001 05 23 Wed,4.11
1143,2001 05 24 Thu,4.12
1144,2001 05 25 Fri,3.83
1145,2001 05 28 Mon,
1146,2001 05 29 Tue,3.86
1147,2001 05 30 Wed,3.66
1148,2001 05 31 Thu,3.73
1149,2001 06 01 Fri,3.7
1150,2001 06 04 Mon,3.98
1151,2001 06 05 Tue,3.93
1152,2001 06 06 Wed,3.76
1153,2001 06 07 Thu,3.68
1154,2001 06 08 Fri,3.62
1155,2001 06 11 Mon,3.91
1156,2001 06 12 Tue,4.05
1157,2001 06 13 Wed,4.13
1158,2001 06 14 Thu,3.92
1159,2001 06 15 Fri,3.86
1160,2001 06 18 Mon,3.91
1161,2001 06 19 Tue,3.96
1162,2001 06 20 Wed,3.83
1163,2001 06 21 Thu,3.69
1164,2001 06 22 Fri,3.68
1165,2001 06 25 Mon,3.56
1166,2001 06 26 Tue,3.46
1167,2001 06 27 Wed,3.39
1168,2001 06 28 Thu,3.2
1169,2001 06 29 Fri,2.91
1170,2001 07 02 Mon,2.92
1171,2001 07 03 Tue,3.0
1172,2001 07 04 Wed,
1173,2001 07 05 Thu,3.09
1174,2001 07 06 Fri,2.99
1175,2001 07 09 Mon,3.1
1176,2001 07 10 Tue,3.2
1177,2001 07 11 Wed,3.21
1178,2001 07 12 Thu,3.29
1179,2001 07 13 Fri,3.15
1180,2001 07 16 Mon,3.08
1181,2001 07 17 Tue,3.14
1182,2001 07 18 Wed,3.15
1183,2001 07 19 Thu,3.01
1184,2001 07 20 Fri,2.97
1185,2001 07 23 Mon,3.02
1186,2001 07 24 Tue,3.0
1187,2001 07 25 Wed,3.06
1188,2001 07 26 Thu,3.26
1189,2001 07 27 Fri,3.06
1190,2001 07 30 Mon,3.28
1191,2001 07 31 Tue,3.31
1192,2001 08 01 Wed,3.27
1193,2001 08 02 Thu,3.15
1194,2001 08 03 Fri,3.06
1195,2001 08 06 Mon,3.07
1196,2001 08 07 Tue,3.16
1197,2001 08 08 Wed,3.11
1198,2001 08 09 Thu,3.1
1199,2001 08 10 Fri,2.99
1200,2001 08 13 Mon,3.0
1201,2001 08 14 Tue,3.05
1202,2001 08 15 Wed,3.15
1203,2001 08 16 Thu,3.46
1204,2001 08 17 Fri,3.24
1205,2001 08 20 Mon,3.17
1206,2001 08 21 Tue,3.18
1207,2001 08 22 Wed,3.2
1208,2001 08 23 Thu,2.87
1209,2001 08 24 Fri,2.77
1210,2001 08 27 Mon,2.61
1211,2001 08 28 Tue,2.57
1212,2001 08 29 Wed,2.46
1213,2001 08 30 Thu,2.47
1214,2001 08 31 Fri,2.15
1215,2001 09 03 Mon,
1216,2001 09 04 Tue,2.23
1217,2001 09 05 Wed,2.34
1218,2001 09 06 Thu,2.43
1219,2001 09 07 Fri,2.36
1220,2001 09 10 Mon,2.38
1221,2001 09 11 Tue,2.38
1222,2001 09 12 Wed,2.44
1223,2001 09 13 Thu,2.39
1224,2001 09 14 Fri,2.41
1225,2001 09 17 Mon,2.36
1226,2001 09 18 Tue,2.18
1227,2001 09 19 Wed,2.13
1228,2001 09 20 Thu,2.06
1229,2001 09 21 Fri,2.04
1230,2001 09 24 Mon,1.99
1231,2001 09 25 Tue,1.94
1232,2001 09 26 Wed,1.88
1233,2001 09 27 Thu,1.9
1234,2001 09 28 Fri,1.8
1235,2001 10 01 Mon,1.74
1236,2001 10 02 Tue,1.83
1237,2001 10 03 Wed,1.97
1238,2001 10 04 Thu,2.13
1239,2001 10 05 Fri,2.11
1240,2001 10 08 Mon,2.02
1241,2001 10 09 Tue,2.11
1242,2001 10 10 Wed,2.22
1243,2001 10 11 Thu,2.41
1244,2001 10 12 Fri,2.28
1245,2001 10 15 Mon,2.26
1246,2001 10 16 Tue,2.51
1247,2001 10 17 Wed,2.61
1248,2001 10 18 Thu,2.39
1249,2001 10 19 Fri,2.31
1250,2001 10 22 Mon,2.61
1251,2001 10 23 Tue,2.82
1252,2001 10 24 Wed,2.67
1253,2001 10 25 Thu,3.15
1254,2001 10 26 Fri,3.06
1255,2001 10 29 Mon,3.21
1256,2001 10 30 Tue,3.11
1257,2001 10 31 Wed,3.07
1258,2001 11 01 Thu,2.99
1259,2001 11 02 Fri,2.93
1260,2001 11 05 Mon,2.87
1261,2001 11 06 Tue,2.72
1262,2001 11 07 Wed,2.73
1263,2001 11 08 Thu,2.68
1264,2001 11 09 Fri,2.61
1265,2001 11 12 Mon,2.45
1266,2001 11 13 Tue,2.38
1267,2001 11 14 Wed,2.29
1268,2001 11 15 Thu,1.99
1269,2001 11 16 Fri,1.69
1270,2001 11 19 Mon,2.08
1271,2001 11 20 Tue,2.55
1272,2001 11 21 Wed,1.91
1273,2001 11 22 Thu,
1274,2001 11 23 Fri,
1275,2001 11 26 Mon,1.79
1276,2001 11 27 Tue,1.87
1277,2001 11 28 Wed,2.3
1278,2001 11 29 Thu,2.19
1279,2001 11 30 Fri,1.83
1280,2001 12 03 Mon,2.1
1281,2001 12 04 Tue,2.0
1282,2001 12 05 Wed,1.89
1283,2001 12 06 Thu,1.81
1284,2001 12 07 Fri,2.11
1285,2001 12 10 Mon,2.28
1286,2001 12 11 Tue,2.58
1287,2001 12 12 Wed,2.57
1288,2001 12 13 Thu,2.4
1289,2001 12 14 Fri,2.4
1290,2001 12 17 Mon,2.4
1291,2001 12 18 Tue,2.4
1292,2001 12 19 Wed,2.4
1293,2001 12 20 Thu,2.4
1294,2001 12 21 Fri,2.4
1295,2001 12 24 Mon,
1296,2001 12 25 Tue,
1297,2001 12 26 Wed,2.4
1298,2001 12 27 Thu,2.4
1299,2001 12 28 Fri,2.4
1300,2001 12 31 Mon,2.4
1301,2002 01 01 Tue,
1302,2002 01 02 Wed,2.55
1303,2002 01 03 Thu,2.58
1304,2002 01 04 Fri,2.58
1305,2002 01 07 Mon,2.58
1306,2002 01 08 Tue,2.39
1307,2002 01 09 Wed,2.31
1308,2002 01 10 Thu,2.32
1309,2002 01 11 Fri,2.32
1310,2002 01 14 Mon,2.32
1311,2002 01 15 Tue,2.32
1312,2002 01 16 Wed,2.38
1313,2002 01 17 Thu,2.4
1314,2002 01 18 Fri,2.28
1315,2002 01 21 Mon,
1316,2002 01 22 Tue,2.28
1317,2002 01 23 Wed,2.28
1318,2002 01 24 Thu,2.13
1319,2002 01 25 Fri,2.03
1320,2002 01 28 Mon,2.03
1321,2002 01 29 Tue,2.03
1322,2002 01 30 Wed,2.28
1323,2002 01 31 Thu,2.28
1324,2002 02 01 Fri,2.28
1325,2002 02 04 Mon,2.28
1326,2002 02 05 Tue,2.28
1327,2002 02 06 Wed,2.14
1328,2002 02 07 Thu,2.17
1329,2002 02 08 Fri,2.21
1330,2002 02 11 Mon,2.22
1331,2002 02 12 Tue,2.39
1332,2002 02 13 Wed,2.37
1333,2002 02 14 Thu,2.26
1334,2002 02 15 Fri,2.18
1335,2002 02 18 Mon,
1336,2002 02 19 Tue,2.32
1337,2002 02 20 Wed,2.41
1338,2002 02 21 Thu,2.4
1339,2002 02 22 Fri,2.4
1340,2002 02 25 Mon,2.4
1341,2002 02 26 Tue,2.46
1342,2002 02 27 Wed,2.49
1343,2002 02 28 Thu,2.49
1344,2002 03 01 Fri,2.51
1345,2002 03 04 Mon,2.66
1346,2002 03 05 Tue,2.63
1347,2002 03 06 Wed,2.52
1348,2002 03 07 Thu,2.73
1349,2002 03 08 Fri,2.82
1350,2002 03 11 Mon,2.9
1351,2002 03 12 Tue,2.94
1352,2002 03 13 Wed,2.97
1353,2002 03 14 Thu,2.78
1354,2002 03 15 Fri,2.99
1355,2002 03 18 Mon,3.15
1356,2002 03 19 Tue,3.33
1357,2002 03 20 Wed,3.29
1358,2002 03 21 Thu,3.2
1359,2002 03 22 Fri,3.57
1360,2002 03 25 Mon,3.46
1361,2002 03 26 Tue,3.59
1362,2002 03 27 Wed,3.35
1363,2002 03 28 Thu,3.18
1364,2002 03 29 Fri,
1365,2002 04 01 Mon,3.43
1366,2002 04 02 Tue,3.72
1367,2002 04 03 Wed,3.68
1368,2002 04 04 Thu,3.56
1369,2002 04 05 Fri,3.31
1370,2002 04 08 Mon,3.36
1371,2002 04 09 Tue,3.25
1372,2002 04 10 Wed,3.25
1373,2002 04 11 Thu,3.14
1374,2002 04 12 Fri,3.07
1375,2002 04 15 Mon,3.27
1376,2002 04 16 Tue,3.44
1377,2002 04 17 Wed,3.4
1378,2002 04 18 Thu,3.5
1379,2002 04 19 Fri,3.4
1380,2002 04 22 Mon,3.58
1381,2002 04 23 Tue,3.63
1382,2002 04 24 Wed,3.53
1383,2002 04 25 Thu,3.46
1384,2002 04 26 Fri,3.32
1385,2002 04 29 Mon,3.44
1386,2002 04 30 Tue,3.65
1387,2002 05 01 Wed,3.79
1388,2002 05 02 Thu,3.65
1389,2002 05 03 Fri,3.71
1390,2002 05 06 Mon,3.61
1391,2002 05 07 Tue,3.5
1392,2002 05 08 Wed,3.74
1393,2002 05 09 Thu,3.72
1394,2002 05 10 Fri,3.7
1395,2002 05 13 Mon,3.62
1396,2002 05 14 Tue,3.75
1397,2002 05 15 Wed,3.6
1398,2002 05 16 Thu,3.45
1399,2002 05 17 Fri,3.41
1400,2002 05 20 Mon,3.44
1401,2002 05 21 Tue,3.33
1402,2002 05 22 Wed,3.39
1403,2002 05 23 Thu,3.38
1404,2002 05 24 Fri,3.21
1405,2002 05 27 Mon,
1406,2002 05 28 Tue,3.18
1407,2002 05 29 Wed,3.3
1408,2002 05 30 Thu,3.33
1409,2002 05 31 Fri,3.15
1410,2002 06 03 Mon,3.18
1411,2002 06 04 Tue,3.31
1412,2002 06 05 Wed,3.29
1413,2002 06 06 Thu,3.29
1414,2002 06 07 Fri,3.11
1415,2002 06 10 Mon,3.14
1416,2002 06 11 Tue,3.11
1417,2002 06 12 Wed,3.15
1418,2002 06 13 Thu,3.04
1419,2002 06 14 Fri,3.13
1420,2002 06 17 Mon,3.34
1421,2002 06 18 Tue,3.23
1422,2002 06 19 Wed,3.24
1423,2002 06 20 Thu,3.33
1424,2002 06 21 Fri,3.18
1425,2002 06 24 Mon,3.33
1426,2002 06 25 Tue,3.49
1427,2002 06 26 Wed,3.92
1428,2002 06 27 Thu,3.22
1429,2002 06 28 Fri,3.2
1430,2002 07 01 Mon,3.28
1431,2002 07 02 Tue,3.17
1432,2002 07 03 Wed,3.08
1433,2002 07 04 Thu,
1434,2002 07 05 Fri,
1435,2002 07 08 Mon,3.06
1436,2002 07 09 Tue,2.97
1437,2002 07 10 Wed,3.04
1438,2002 07 11 Thu,2.85
1439,2002 07 12 Fri,2.87
1440,2002 07 15 Mon,2.83
1441,2002 07 16 Tue,2.89
1442,2002 07 17 Wed,2.97
1443,2002 07 18 Thu,2.85
1444,2002 07 19 Fri,2.95
1445,2002 07 22 Mon,3.01
1446,2002 07 23 Tue,2.95
1447,2002 07 24 Wed,2.91
1448,2002 07 25 Thu,3.05
1449,2002 07 26 Fri,2.94
1450,2002 07 29 Mon,3.07
1451,2002 07 30 Tue,2.97
1452,2002 07 31 Wed,3.02
1453,2002 08 01 Thu,3.07
1454,2002 08 02 Fri,2.9
1455,2002 08 05 Mon,2.81
1456,2002 08 06 Tue,2.8
1457,2002 08 07 Wed,2.73
1458,2002 08 08 Thu,2.75
1459,2002 08 09 Fri,2.83
1460,2002 08 12 Mon,2.91
1461,2002 08 13 Tue,3.01
1462,2002 08 14 Wed,3.03
1463,2002 08 15 Thu,2.92
1464,2002 08 16 Fri,3.1
1465,2002 08 19 Mon,3.1
1466,2002 08 20 Tue,3.25
1467,2002 08 21 Wed,3.22
1468,2002 08 22 Thu,3.36
1469,2002 08 23 Fri,3.48
1470,2002 08 26 Mon,3.51
1471,2002 08 27 Tue,3.47
1472,2002 08 28 Wed,3.31
1473,2002 08 29 Thu,3.25
1474,2002 08 30 Fri,3.12
1475,2002 09 02 Mon,
1476,2002 09 03 Tue,3.1
1477,2002 09 04 Wed,3.13
1478,2002 09 05 Thu,3.2
1479,2002 09 06 Fri,3.39
1480,2002 09 09 Mon,3.24
1481,2002 09 10 Tue,3.35
1482,2002 09 11 Wed,3.33
1483,2002 09 12 Thu,3.22
1484,2002 09 13 Fri,3.37
1485,2002 09 16 Mon,3.45
1486,2002 09 17 Tue,3.46
1487,2002 09 18 Wed,3.8
1488,2002 09 19 Thu,3.9
1489,2002 09 20 Fri,3.95
1490,2002 09 23 Mon,3.87
1491,2002 09 24 Tue,4.0
1492,2002 09 25 Wed,3.76
1493,2002 09 26 Thu,3.61
1494,2002 09 27 Fri,3.76
1495,2002 09 30 Mon,4.09
1496,2002 10 01 Tue,4.41
1497,2002 10 02 Wed,4.27
1498,2002 10 03 Thu,4.23
1499,2002 10 04 Fri,3.86
1500,2002 10 07 Mon,3.77
1501,2002 10 08 Tue,3.86
1502,2002 10 09 Wed,3.91
1503,2002 10 10 Thu,3.93
1504,2002 10 11 Fri,3.8
1505,2002 10 14 Mon,4.19
1506,2002 10 15 Tue,4.19
1507,2002 10 16 Wed,4.1
1508,2002 10 17 Thu,4.1
1509,2002 10 18 Fri,4.11
1510,2002 10 21 Mon,4.23
1511,2002 10 22 Tue,4.2
1512,2002 10 23 Wed,4.24
1513,2002 10 24 Thu,4.3
1514,2002 10 25 Fri,4.12
1515,2002 10 28 Mon,4.16
1516,2002 10 29 Tue,4.2
1517,2002 10 30 Wed,4.34
1518,2002 10 31 Thu,4.39
1519,2002 11 01 Fri,4.07
1520,2002 11 04 Mon,3.94
1521,2002 11 05 Tue,3.9
1522,2002 11 06 Wed,3.92
1523,2002 11 07 Thu,3.9
1524,2002 11 08 Fri,3.76
1525,2002 11 11 Mon,3.83
1526,2002 11 12 Tue,3.83
1527,2002 11 13 Wed,3.83
1528,2002 11 14 Thu,3.9
1529,2002 11 15 Fri,3.92
1530,2002 11 18 Mon,4.18
1531,2002 11 19 Tue,4.25
1532,2002 11 20 Wed,4.27
1533,2002 11 21 Thu,4.24
1534,2002 11 22 Fri,4.32
1535,2002 11 25 Mon,4.34
1536,2002 11 26 Tue,4.23
1537,2002 11 27 Wed,4.19
1538,2002 11 28 Thu,
1539,2002 11 29 Fri,
1540,2002 12 02 Mon,4.23
1541,2002 12 03 Tue,4.35
1542,2002 12 04 Wed,4.24
1543,2002 12 05 Thu,4.35
1544,2002 12 06 Fri,4.39
1545,2002 12 09 Mon,4.32
1546,2002 12 10 Tue,4.4
1547,2002 12 11 Wed,4.63
1548,2002 12 12 Thu,4.81
1549,2002 12 13 Fri,5.05
1550,2002 12 16 Mon,5.31
1551,2002 12 17 Tue,5.13
1552,2002 12 18 Wed,4.98
1553,2002 12 19 Thu,5.14
1554,2002 12 20 Fri,5.05
1555,2002 12 23 Mon,5.03
1556,2002 12 24 Tue,5.03
1557,2002 12 25 Wed,
1558,2002 12 26 Thu,4.98
1559,2002 12 27 Fri,4.81
1560,2002 12 30 Mon,4.74
1561,2002 12 31 Tue,4.59
1562,2003 01 01 Wed,
1563,2003 01 02 Thu,4.93
1564,2003 01 03 Fri,5.13
1565,2003 01 06 Mon,4.94
1566,2003 01 07 Tue,4.89
1567,2003 01 08 Wed,5.07
1568,2003 01 09 Thu,5.05
1569,2003 01 10 Fri,5.19
1570,2003 01 13 Mon,5.23
1571,2003 01 14 Tue,5.25
1572,2003 01 15 Wed,5.21
1573,2003 01 16 Thu,5.5
1574,2003 01 17 Fri,5.66
1575,2003 01 20 Mon,
1576,2003 01 21 Tue,5.47
1577,2003 01 22 Wed,5.72
1578,2003 01 23 Thu,6.55
1579,2003 01 24 Fri,5.91
1580,2003 01 27 Mon,5.91
1581,2003 01 28 Tue,5.52
1582,2003 01 29 Wed,5.61
1583,2003 01 30 Thu,5.76
1584,2003 01 31 Fri,5.58
1585,2003 02 03 Mon,5.71
1586,2003 02 04 Tue,6.26
1587,2003 02 05 Wed,6.22
1588,2003 02 06 Thu,6.08
1589,2003 02 07 Fri,6.3
1590,2003 02 10 Mon,6.35
1591,2003 02 11 Tue,6.19
1592,2003 02 12 Wed,6.19
1593,2003 02 13 Thu,5.81
1594,2003 02 14 Fri,5.88
1595,2003 02 17 Mon,
1596,2003 02 18 Tue,6.09
1597,2003 02 19 Wed,6.1
1598,2003 02 20 Thu,6.38
1599,2003 02 21 Fri,6.73
1600,2003 02 24 Mon,11.98
1601,2003 02 25 Tue,18.48
1602,2003 02 26 Wed,10.47
1603,2003 02 27 Thu,8.42
1604,2003 02 28 Fri,10.81
1605,2003 03 03 Mon,8.51
1606,2003 03 04 Tue,7.71
1607,2003 03 05 Wed,7.8
1608,2003 03 06 Thu,7.57
1609,2003 03 07 Fri,7.42
1610,2003 03 10 Mon,6.78
1611,2003 03 11 Tue,6.25
1612,2003 03 12 Wed,5.8
1613,2003 03 13 Thu,5.71
1614,2003 03 14 Fri,5.17
1615,2003 03 17 Mon,5.32
